year,teamid,salary,score,finalscore
2008,LAN,118588536,2.0769230769230766,4.062806726042285
2009,PHI,113004046,3.8478260869565215,7.898959734361307
2009,MIN,65299266,2.144736842105263,7.619284164614297
2009,FLO,36834000,1.16,7.305628163110169
2009,NYA,201449189,6.245762711864407,7.1923102957671565
2009,COL,75201000,2.1142857142857143,6.522115991618652
2009,SLN,88528409,2.2816901408450705,5.97891618125005
2009,LAN,100414592,2.4179104477611943,5.5858830967455715
2009,LAA,113709000,2.4923076923076923,5.084582240902384
2009,SDN,43333700,0.8620689655172413,4.61492552622698
2009,BOS,121345999,2.217910447761194,4.240011200694001
2010,TEX,55250544,3.75,15.74501823004675
2010,SFN,98641333,5.814285714285714,13.673695213402219
2010,TBA,71923471,2.4545454545454546,7.916785887347096
2010,SDN,37799300,1.25,7.671401520663082
2010,CIN,71761542,2.2816901408450705,7.375871843311597
2010,ATL,84423666,2.0816901408450708,5.720056741795868
2010,MIN,97559166,2.3823529411764706,5.664824782870132
2010,OAK,55254900,1.0,4.198340527265455
2010,TOR,62234000,1.103896103896104,4.114802012429837
2010,PHI,141928379,2.4923076923076923,4.073623373312601
2011,SLN,105433572,5.55,12.21131744734969
2011,TBA,41053571,2.0816901408450708,11.762878310157785
2011,ARI,53639833,2.3823529411764706,10.303081692162262
2011,TEX,92299264,3.9545454545454546,9.939093871667474
2011,MIL,85497333,2.4545454545454546,6.659888679589786
2011,DET,105700231,2.4179104477611943,5.306555783396567
2011,KCA,35712000,0.7802197802197802,5.068170795546299
2011,CLE,48776566,0.975609756097561,4.639950758121101
2011,PIT,45047000,0.8,4.11976621750616
2011,SDN,45869140,0.7802197802197802,3.9458885745525087
2012,SFN,117620683,5.882352941176471,11.601545302648356
2012,OAK,55372500,2.3823529411764706,9.980686827449386
2012,WAS,80855143,2.53125,7.2623278297522775
2012,CIN,82203616,2.4923076923076923,7.033300846896677
2012,DET,132300000,3.6891891891891895,6.4687377048477055
2012,BAL,77353999,2.1478260869565218,6.441170584780149
2012,ATL,82829942,2.182352941176471,6.112038617061223
2012,TBA,64173500,1.25,4.518588007510889
2012,SLN,110300862,1.9891891891891893,4.183556536043675
2012,TEX,120510974,2.1478260869565218,4.134480756697834
2013,SLN,92260110,3.9923076923076923,10.038261292239618
2013,OAK,60132500,2.4545454545454546,9.469134331381834
2013,TBA,52955272,2.095774647887324,9.180870001459791
2013,BOS,151530000,5.992307692307692,9.173687474630563
2013,PIT,77062000,2.182352941176471,6.569512913666155
2013,ATL,87871525,2.4545454545454546,6.4799458093144295
2013,CLE,75771800,2.1142857142857143,6.472983942386406
2013,HOU,17890700,0.4594594594594595,5.9575585956707995
2013,CIN,106404462,2.05,4.469330584087723
2013,MIA,33601900,0.62,4.280320735434604
2014,KCA,74594075,3.5191780821917806,10.944233991003518
2014,SFN,163510167,5.489189189189189,7.787748104687284
2014,OAK,72408400,1.9891891891891893,6.372877900234661
2014,PIT,77178000,1.9891891891891893,5.979034079029664
2014,BAL,103416000,2.4545454545454546,5.505944149665605
2014,HOU,35116300,0.7608695652173914,5.02631752577677
2014,MIA,41836900,0.9058823529411765,5.0229720433959715
2014,LAA,121988250,2.53125,4.813550118044156
2014,SLN,120693000,2.25,4.324629377842957
2014,WAS,131983680,2.4545454545454546,4.314190361882758
2015,KCA,112107025,5.917910447761194,12.245711391586774
2015,NYN,96766683,3.75,8.989879528060293
2015,HOU,72256200,1.931578947368421,6.201343724574208
2015,PIT,88892499,2.33125,6.083761667983931
2015,SLN,119241500,2.6129032258064515,5.083283752287476
2015,TOR,112992400,2.3478260869565215,4.820201006208498
2015,CHN,115879310,2.292307692307692,4.588972654659138
2015,ARI,61834000,0.9518072289156626,3.5708377373387195
2015,TEX,143742789,2.1891891891891895,3.533016667370712
2015,TBA,64521233,0.975609756097561,3.5076958989646694
2016,CLE,74311900,3.9029850746268657,12.183918452987571
2016,CHN,154067668,6.275862068965518,9.44953286012141
2016,WAS,141652646,2.4179104477611943,3.9597154586113628
2016,NYN,133889129,1.96,3.3959337845867976
2016,TOR,138701700,2.0191780821917806,3.3770796042331543
2016,TEX,176038723,2.4179104477611943,3.1862544931060595
2016,PHI,58980000,0.7802197802197802,3.068743903875033
2016,TBA,57097310,0.723404255319149,2.9390966628129376
2016,BAL,161863456,2.0191780821917806,2.8938383852527263
2016,MIA,77314202,0.9634146341463414,2.8906959886278827
