Name,Year,Age,From Team,WAR3,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,Pos
Paul O'Neill,2001,39,NYY,4.6,2053,8329,7318,1041,2105,451,21,281,1269,141,73,892,1166,0.288,0.363,0.47,0.833,OF
Cal Ripken Jr.,2001,41,BAL,3.4,3001,12883,11551,1647,3184,603,44,431,1695,36,39,1129,1305,0.276,0.34,0.447,0.788,SS-3B
Tony Fernandez,2001,40,TOR,3.1,2158,8793,7911,1057,2276,414,92,94,844,246,138,690,784,0.288,0.347,0.399,0.746,SS-3B-2B
Scott Brosius,2001,35,NYY,3,1146,4356,3889,544,1001,200,8,141,531,57,30,348,699,0.257,0.323,0.422,0.744,3B-OF-1B-SS
Jay Buhner,2001,37,SEA,2.8,1472,5927,5013,797,1273,233,19,310,965,6,24,792,1406,0.254,0.359,0.494,0.852,OF-DH
Stan Javier,2001,38,SEA,2.8,1763,5755,5047,781,1358,225,40,57,503,246,51,578,839,0.269,0.345,0.363,0.708,OF-1B
Tony Gwynn,2001,42,SDP,2.7,2440,10232,9288,1383,3141,543,85,135,1138,319,125,790,434,0.338,0.388,0.459,0.847,OF
Ken Caminiti,2001,39,ATL,2,1760,7127,6288,894,1710,348,17,239,983,88,39,727,1163,0.272,0.347,0.447,0.794,3B-1B
Chad Curtis,2001,33,TEX,1.4,1204,4650,4017,648,1061,195,16,101,461,212,98,510,676,0.264,0.349,0.396,0.745,OF-DH
Devon White,2001,39,MIL,1.4,1941,8080,7344,1125,1934,378,71,208,846,346,98,541,1526,0.263,0.319,0.419,0.739,OF
Tony Eusebio,2001,35,HOU,1.3,598,1955,1739,179,479,87,5,30,241,1,5,182,324,0.275,0.346,0.383,0.729,C
Harold Baines,2001,43,CHW,1.1,2830,11092,9908,1299,2866,488,49,384,1628,34,34,1062,1441,0.289,0.356,0.465,0.82,DH-OF
Eric Davis,2001,40,SFG,1.1,1626,6147,5321,938,1430,239,26,282,934,349,66,740,1398,0.269,0.359,0.482,0.841,OF-DH
Rob Ducey,2001,37,MON,1,703,1478,1279,190,309,78,13,31,146,22,17,166,346,0.242,0.331,0.396,0.726,OF
