playerID,name,year,team
manuero01,Robert Manuel,2010,BOS
weaveje01,Jeff Weaver,2010,LAD
maclaev01,Evan MacLane,2010,STL
rosalle01,Leo Rosales,2010,ARI
riversa01,Saul Rivera,2010,CLE
stricsc01,Scott Strickland,2010,FLA
shielsc01,Scot Shields,2010,LAA
bowerce01,Cedrick Bowers,2010,OAK
moehlbr01,Brian Moehler,2010,HOU
bondeje01,Jeremy Bonderman,2010,DET
bensokr01,Kris Benson,2010,ARI
kensilo01,Logan Kensing,2010,TBR
majewga01,Gary Majewski,2010,HOU
lincomi01,Mike Lincoln,2010,CIN
sosajo02,Jorge Sosa,2010,FLA
oswalro01,Roy Oswalt,2011,PHI
vazquja01,Javier Vazquez,2011,FLA
garlajo01,Jon Garland,2011,LAD
rhodear01,Arthur Rhodes,2011,STL
harderi01,Rich Harden,2011,OAK
gonzami01,Mike Gonzalez,2011,TEX
davieky01,Kyle Davies,2011,TOR
pennybr01,Brad Penny,2011,DET
cormila01,Lance Cormier,2011,TBR
buchhta01,Taylor Buchholz,2011,NYM
difelma01,Mark DiFelice,2011,MIL
thomabr01,Brad Thomas,2011,DET
talbomi01,Mitch Talbot,2011,CLE
willira01,Randy Williams,2011,BOS
gonzaen01,Enrique Gonzalez,2011,DET
corteda02,Dan Cortes,2011,SEA
johnsal02,Alan Johnson,2011,COL
ramirho01,Horacio Ramirez,2011,LAA
wakefti01,Tim Wakefield,2011,BOS
mitrese01,Sergio Mitre,2011,NYY
lewisro01,Rommie Lewis,2011,TOR
worrema01,Mark Worrell,2011,BAL
proctsc01,Scott Proctor,2011,NYY
oswalro01,Roy Oswalt,2012,TEX
zambrca01,Carlos Zambrano,2012,MIA
pavanca01,Carl Pavano,2012,MIN
wolfra02,Randy Wolf,2012,BAL
wilsobr01,Brian Wilson,2012,SFG
millwke01,Kevin Millwood,2012,SEA
pauleda01,David Pauley,2012,SEA
hernali01,Livan Hernandez,2012,MIL
padilvi01,Vicente Padilla,2012,BOS
saitota01,Takashi Saito,2012,ARI
sheetbe01,Ben Sheets,2012,ATL
slatedo01,Doug Slaten,2012,PIT
seddoch01,Chris Seddon,2012,CLE
fuentbr01,Brian Fuentes,2012,STL
isrinja01,Jason Isringhausen,2012,LAA
dillati01,Tim Dillard,2012,MIL
moseldu01,Dustin Moseley,2012,SDP
egberja01,Jack Egbert,2012,NYM
richmsc01,Scott Richmond,2012,TOR
acostma01,Manny Acosta,2012,NYM
socolmi01,Miguel Socolovich,2012,CHC
evelada01,Dana Eveland,2012,BAL
chulkvi01,Vinnie Chulk,2012,MIL
wellski01,Kip Wells,2012,SDP
motagu01,Guillermo Mota,2012,SFG
coffeto01,Todd Coffey,2012,LAD
rodrian01,Aneury Rodriguez,2012,HOU
delroen01,Enerio Del Rosario,2012,HOU
pennybr01,Brad Penny,2012,SFG
igarary01,Ryota Igarashi,2012,NYY
hallaro01,Roy Halladay,2013,PHI
riverma01,Mariano Rivera,2013,NYY
moralke01,Kendrys Morales,2013,SEA
pettian01,Andy Pettitte,2013,NYY
oliveda02,Darren Oliver,2013,TOR
hanrajo01,Joel Hanrahan,2013,BOS
moscogu01,Guillermo Moscoso,2013,SFG
doteloc01,Octavio Dotel,2013,DET
jurrjja01,Jair Jurrjens,2013,DET
blacktr01,Travis Blackley,2013,TEX
bowdemi01,Michael Bowden,2013,CHC
oswalro01,Roy Oswalt,2013,COL
marticr01,Cristhian Martinez,2013,ATL
phillza01,Zach Phillips,2013,MIA
westbja01,Jake Westbrook,2013,STL
greggke01,Kevin Gregg,2013,CHC
narvech01,Chris Narveson,2013,MIL
burneal01,Alex Burnett,2013,CHC
bucknbi02,Billy Buckner,2013,LAA
hennse01,Sean Henn,2013,NYM
okajihi01,Hideki Okajima,2013,OAK
devrico01,Cole De Vries,2013,MIN
felicpe01,Pedro Feliciano,2013,NYM
martish01,Shairon Martis,2013,MIN
mccleky01,Kyle McClellan,2013,TEX
byrdati01,Tim Byrdak,2013,NYM
bondeje01,Jeremy Bonderman,2013,DET
ortizra01,Ramon Ortiz,2013,TOR
takahhi01,Hisanori Takahashi,2013,COL
bushda01,Dave Bush,2013,TOR
martevi01,Victor Marte,2013,STL
reynogr01,Greg Reynolds,2013,CIN
richacl01,Clayton Richard,2013,SDP
marquja01,Jason Marquis,2013,SDP
zitoba01,Barry Zito,2013,SFG
kurodhi01,Hiroki Kuroda,2014,NYY
soriara01,Rafael Soriano,2014,WSN
beckejo02,Josh Beckett,2014,LAD
burnese01,Sean Burnett,2014,LAA
pattotr01,Troy Patton,2014,SDP
leblawa01,Wade LeBlanc,2014,LAA
fifest01,Stephen Fife,2014,LAD
brasiry01,Ryan Brasier,2014,LAA
bucknbi02,Billy Buckner,2014,MIL
grubeja01,Jarrett Grube,2014,LAA
feierry01,Ryan Feierabend,2014,TEX
figuepe01,Pedro Figueroa,2014,TEX
overbly01,Lyle Overbay,2014,MIL
reedev01,Evan Reed,2014,DET
valdera02,Raul Valdes,2014,TOR
belltr01,Trevor Bell,2014,CIN
ondrulo01,Logan Ondrusek,2014,CIN
ramirra02,Ramon Ramirez,2014,BAL
figaral01,Alfredo Figaro,2014,TEX
luekejo01,Josh Lueke,2014,TBR
hernape02,Pedro Hernandez,2014,COL
matsuda01,Daisuke Matsuzaka,2014,NYM
buehrma01,Mark Buehrle,2015,TOR
hollagr01,Greg Holland,2015,KCR
burneaj01,A.J. Burnett,2015,PIT
lohseky01,Kyle Lohse,2015,MIL
nathajo01,Joe Nathan,2015,DET
hudsoti01,Tim Hudson,2015,SFG
harenda01,Dan Haren,2015,CHC
thielca01,Caleb Thielbar,2015,SDP
hawkila01,LaTroy Hawkins,2015,TOR
haranaa01,Aaron Harang,2015,PHI
beimejo01,Joe Beimel,2015,SEA
kohnmi01,Michael Kohn,2015,ATL
handdo01,Donovan Hand,2015,CIN
wilsojo03,Josh Wilson,2015,DET
affelje01,Jeremy Affeldt,2015,SFG
teafoev01,Everett Teaford,2015,TBR
pinoyo01,Yohan Pino,2015,KCR
bochybr02,Brett Bochy,2015,SFG
davieky01,Kyle Davies,2015,NYY
depaujo02,Jose De Paula,2015,NYY
hatlema01,Marcus Hatley,2015,STL
bakersc01,Scott Baker,2015,LAD
billich01,Chad Billingsley,2015,PHI
willije02,Jerome Williams,2015,PHI
cordier01,Erik Cordier,2015,MIA
jaimeju01,Juan Jaime,2015,LAD
balesco01,Collin Balester,2015,CIN
carpeda01,David Carpenter,2015,ATL
gomesjo01,Jonny Gomes,2015,KCR
marimsu01,Sugar Ray Marimon,2015,ATL
noesihe01,Hector Noesi,2015,CHW
marcush01,Shaun Marcum,2015,CLE
wolfra02,Randy Wolf,2015,DET
linceti01,Tim Lincecum,2015,SFG
francje01,Jeff Francis,2015,TOR
zitoba01,Barry Zito,2015,OAK
fistedo01,Doug Fister,2016,HOU
alvarhe01,Henderson Alvarez,2016,OAK
lewisco01,Colby Lewis,2016,TEX
