,Name,Year,Age,From Team,WAR3,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF
177,Kane Davis,2002,28,NYM,-0.6,3,8,0.273,6.01,81,2,12,0,0,0,97.1,108,71,65,17,56,6,75,4,1,5,456
178,Craig Dingman,2002,29,NYY,-0.6,0,0,,9.33,17,0,8,0,0,1,18.1,29,19,19,5,6,2,10,2,0,0,88
179,Takahito Nomura,2002,34,MIL,-0.6,0,0,,8.56,21,0,2,0,0,0,13.2,11,14,13,2,18,4,9,2,1,2,71
180,Travis Smith,2002,30,STL,-1.3,4,2,0.667,6.91,13,10,0,0,0,0,56,70,44,43,10,20,0,33,3,0,2,251
181,Tim Harikkala,2002,31,MIL,,1,2,0.333,9.15,9,1,3,0,0,0,20.2,26,21,21,2,9,1,9,2,0,1,96
182,Pedro Astacio,2003,35,NYM,1.7,118,109,0.52,4.58,346,303,9,30,11,0,1971,2037,1073,1004,258,653,47,1538,108,16,52,8482
183,Darren Holmes,2003,38,ATL,1.6,35,33,0.515,4.25,557,6,212,0,0,59,680,709,348,321,63,256,36,581,15,4,26,2966
184,Scott Mullen,2003,29,LAD,0.8,4,5,0.444,4.66,75,1,17,0,0,0,67.2,76,38,35,9,35,2,35,3,0,2,313
185,Hector Carrasco,2003,34,BAL,0.6,30,42,0.417,4.22,498,1,161,0,0,16,605.1,596,312,284,45,299,24,482,21,6,70,2687
186,John Bale,2003,30,CIN,0.3,2,2,0.5,4.69,27,9,3,0,0,0,78.2,75,48,41,11,34,2,68,5,0,2,340
187,Hector Mercado,2003,30,PHI,0.3,5,4,0.556,4.55,112,3,25,0,0,1,124.2,117,67,63,15,75,3,127,4,1,10,559
188,Kevin Ohme,2003,33,STL,0.3,0,0,,0,2,0,0,0,0,0,4.1,3,0,0,0,1,1,2,0,0,1,17
189,Josias Manzanillo,2003,36,CIN,0.2,10,12,0.455,4.56,241,1,76,0,0,5,309.2,292,174,157,40,138,18,273,15,0,16,1351
190,Manny Aybar,2003,32,SFG,-0.2,17,18,0.486,5.05,186,28,49,0,0,3,365.2,382,227,205,45,165,9,246,15,5,13,1635
191,Mike Fetters,2003,39,MIN,-0.3,31,40,0.437,3.73,597,6,286,0,0,99,698,676,338,289,60,337,37,504,30,4,53,3046
192,Graeme Lloyd,2003,37,KCR,-0.4,30,36,0.455,4.04,568,0,175,0,0,17,533,560,274,239,51,161,36,304,23,0,23,2293
193,Bill Pulsipher,2003,30,BAL,-0.4,13,19,0.406,5.13,101,46,11,2,0,0,323,356,196,184,44,139,6,201,11,3,9,1433
194,Jose Mercedes,2003,33,MON,-0.5,33,39,0.458,4.75,145,79,18,5,1,0,583,617,336,308,75,223,8,310,21,4,13,2530
195,Dan Serafini,2003,30,CIN,-0.6,15,16,0.484,5.98,101,33,15,1,0,1,263.1,335,189,175,37,116,6,127,7,0,10,1222
196,Russ Springer,2003,35,STL,-1.2,20,33,0.377,5.18,368,27,90,1,0,8,549,564,337,316,85,252,25,496,22,0,30,2443
197,Ken Ray,2003,29,MIL,,1,0,1,8.74,13,0,4,0,0,0,11.1,23,12,11,2,6,0,0,1,0,0,57
198,Robin Ventura,2004,37,LAD,5.6,0,0,,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4
199,Curt Leskanic,2004,37,BOS,2,50,34,0.595,4.36,603,11,244,0,0,55,712.2,678,365,345,80,362,23,641,17,6,46,3111
200,Pat Hentgen,2004,36,TOR,1.7,131,112,0.539,4.32,344,306,15,34,10,1,2075.1,2111,1076,996,269,775,29,1290,49,10,66,8925
201,Dan Miceli,2004,34,HOU,1.6,41,48,0.461,4.47,579,9,208,0,0,35,650.1,640,354,323,88,277,44,595,18,4,40,2841
202,Brian Boehringer,2004,36,PIT,1.1,26,32,0.448,4.36,356,21,98,0,0,3,534.2,522,280,259,64,274,34,432,18,1,10,2375
203,Leo Estrella,2004,30,SFG,0.6,7,3,0.7,4.88,62,0,19,0,0,3,72,92,39,39,11,22,5,28,3,1,2,324
