,Name,Year,Age,From Team,WAR3,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF
486,Hisanori Takahashi,2013,39,COL,-0.4,14,12,0.538,3.99,168,12,52,0,0,10,243.1,226,115,108,29,84,16,221,0,1,2,1023
487,Dave Bush,2013,34,TOR,-0.5,56,69,0.448,4.73,211,187,10,6,3,0,1144.1,1199,657,601,170,296,21,768,80,2,21,4899
488,Victor Marte,2013,33,STL,-0.5,6,3,0.667,7.05,82,0,14,0,0,0,83,106,66,65,16,44,5,64,5,0,3,397
489,Greg Reynolds,2013,28,CIN,-0.5,6,11,0.353,7.01,33,21,3,0,0,0,123.1,161,99,96,25,42,6,53,9,0,3,571
490,Clayton Richard,2013,30,SDP,-1.3,46,47,0.495,4.33,147,129,7,3,2,0,773.1,818,413,372,90,263,15,480,15,9,19,3315
491,Jason Marquis,2013,35,SDP,-1.5,121,114,0.515,4.56,368,309,26,8,5,1,1921,2015,1077,974,243,755,39,1137,87,9,53,8407
492,Barry Zito,2013,36,SFG,-3.3,165,143,0.536,4.02,430,419,8,12,5,0,2569.2,2369,1246,1149,278,1058,52,1883,97,8,50,10964
493,Hiroki Kuroda,2014,40,NYY,11.1,79,79,0.5,3.45,212,211,0,6,5,0,1319,1254,564,505,129,292,32,986,38,1,66,5444
494,Rafael Soriano,2014,35,WSN,4.3,22,28,0.44,2.85,585,8,340,0,0,207,630.2,481,209,200,60,196,20,637,15,0,13,2546
495,Josh Beckett,2014,35,LAD,2.2,138,106,0.566,3.88,335,332,1,12,6,0,2051,1897,957,884,238,629,28,1901,76,3,59,8579
496,Sean Burnett,2014,32,LAA,2.2,15,23,0.395,3.53,370,13,68,1,1,10,372.2,353,152,146,36,147,24,274,13,0,17,1593
497,Troy Patton,2014,29,SDP,2.1,5,4,0.556,3.25,151,2,32,0,0,0,169,154,64,61,20,43,5,135,7,0,1,699
498,Wade LeBlanc,2014,30,LAA,0.9,21,33,0.389,4.47,107,71,5,0,0,0,446.2,475,232,222,60,159,15,302,13,1,5,1926
499,Stephen Fife,2014,28,LAD,0.7,4,6,0.4,3.66,18,16,0,0,0,0,91,101,41,37,12,33,2,70,8,0,10,400
500,Ryan Brasier,2014,27,LAA,0.2,0,0,,2,7,0,7,0,0,0,9,7,2,2,1,4,0,7,0,0,0,35
501,Billy Buckner,2014,31,MIL,0.1,7,12,0.368,6.02,44,24,10,0,0,0,161.1,196,111,108,30,65,2,114,7,0,11,716
502,Jarrett Grube,2014,33,LAA,0,0,0,,13.5,1,0,1,0,0,0,0.2,1,1,1,1,0,0,0,0,0,0,3
503,Ryan Feierabend,2014,29,TEX,-0.1,2,11,0.154,7.15,31,19,2,0,0,0,113.1,159,90,90,20,46,3,68,5,2,6,528
504,Pedro Figueroa,2014,29,TEX,-0.1,2,1,0.667,4.28,34,0,8,0,0,0,33.2,32,20,16,5,21,1,20,2,0,2,149
505,Lyle Overbay,2014,38,MIL,-0.2,0,0,,0,1,0,1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,1
506,Evan Reed,2014,29,DET,-0.2,0,2,0,4.2,48,0,19,0,0,0,55.2,67,35,26,4,20,1,43,4,2,2,250
507,Raul Valdes,2014,37,TOR,-0.2,7,7,0.5,5.13,103,3,27,0,0,2,140.1,138,81,80,20,49,4,147,7,0,3,601
508,Trevor Bell,2014,28,CIN,-0.3,4,8,0.333,5.57,54,11,23,0,0,0,116.1,161,79,72,7,44,5,76,2,0,8,538
509,Logan Ondrusek,2014,30,CIN,-0.3,21,11,0.656,3.89,281,0,73,0,0,2,270.2,258,125,117,34,111,14,214,7,1,21,1173
510,Ramon Ramirez,2014,33,BAL,-0.3,23,21,0.523,3.42,424,0,115,0,0,9,434.2,370,182,165,32,190,27,364,9,6,28,1835
511,Alfredo Figaro,2014,30,TEX,-0.8,5,8,0.385,5.04,52,9,17,0,0,1,114.1,129,73,64,21,34,4,83,2,1,7,506
512,Josh Lueke,2014,30,TBR,-0.8,2,5,0.286,6.16,72,0,29,0,0,0,87.2,104,61,60,12,33,3,75,2,0,8,397
513,Pedro Hernandez,2014,26,COL,-1.2,3,5,0.375,7.33,16,14,1,0,0,0,66.1,98,54,54,13,26,1,33,1,1,1,312
514,Daisuke Matsuzaka,2014,34,NYM,-1.2,56,43,0.566,4.45,158,132,6,1,0,1,790.1,721,406,391,85,387,9,720,45,0,31,3444
515,Mark Buehrle,2015,37,TOR,7,214,160,0.572,3.81,518,493,6,33,10,0,3283.1,3472,1542,1391,361,734,49,1870,79,16,27,13705
516,Greg Holland,2015,30,KCR,5.9,18,12,0.6,2.42,309,0,222,0,0,145,319.2,234,94,86,16,125,12,430,1,1,30,1297
517,A.J. Burnett,2015,39,PIT,4.4,164,157,0.511,3.99,435,430,1,24,10,0,2731.1,2519,1328,1210,263,1100,35,2513,143,6,161,11665
518,Kyle Lohse,2015,37,MIL,3.9,147,141,0.51,4.37,455,416,15,12,9,2,2522.1,2696,1314,1226,312,689,33,1612,87,4,57,10791
519,Joe Nathan,2015,41,DET,2.9,62,34,0.646,2.89,777,29,586,0,0,377,917,685,317,294,84,340,31,967,23,2,46,3743
520,Tim Hudson,2015,40,SFG,2.8,222,133,0.625,3.49,482,479,0,26,13,0,3126.2,2957,1319,1213,248,917,84,2080,124,6,84,13005
521,Dan Haren,2015,35,CHC,2.1,153,131,0.539,3.75,391,380,4,16,6,1,2419.2,2357,1105,1009,305,500,39,2013,67,5,98,10022
522,Caleb Thielbar,2015,29,SDP,2.1,5,3,0.625,2.74,109,0,24,0,0,0,98.2,80,33,30,7,30,5,79,1,0,2,397
523,LaTroy Hawkins,2015,43,TOR,2,75,94,0.444,4.31,1042,98,373,2,0,127,1467.1,1607,763,702,163,456,35,983,21,7,70,6323
524,Aaron Harang,2015,38,PHI,1.7,128,143,0.472,4.26,387,381,2,15,8,0,2322,2445,1177,1099,298,712,54,1842,63,3,76,9975
525,Joe Beimel,2015,39,SEA,1.1,29,34,0.46,4.06,676,23,129,0,0,5,680,719,331,307,66,272,52,379,22,7,26,2957
526,Michael Kohn,2015,30,ATL,1.1,5,6,0.455,3.52,132,0,33,0,0,2,115,84,46,45,14,79,5,111,6,0,8,506
527,Donovan Hand,2015,30,CIN,0.8,1,5,0.167,3.53,32,7,5,0,0,0,71.1,73,29,28,10,22,1,40,6,0,3,299
528,Josh Wilson,2015,35,DET,0.8,0,1,0,9,4,0,4,0,0,0,4,6,4,4,2,3,0,0,0,0,0,19
529,Jeremy Affeldt,2015,37,SFG,0.6,43,46,0.483,3.97,774,42,162,0,0,28,926,904,455,408,76,396,41,720,42,9,55,4034
530,Everett Teaford,2015,32,TBR,0.3,3,5,0.375,4.11,49,8,12,0,0,1,111.2,110,52,51,19,38,1,67,4,1,4,465
531,Yohan Pino,2015,32,KCR,0.2,2,7,0.222,4.63,18,12,3,0,0,0,79.2,89,45,41,10,17,0,63,1,0,2,340
532,Brett Bochy,2015,28,SFG,0.1,0,0,,2.84,7,0,3,0,0,0,6.1,2,2,2,1,3,0,6,2,0,1,26
533,Kyle Davies,2015,32,NYY,0.1,43,65,0.398,5.57,152,144,3,3,0,0,770.1,879,512,477,99,367,13,547,22,3,42,3488
534,Jose De Paula,2015,28,NYY,0.1,0,0,,2.7,1,0,1,0,0,0,3.1,2,1,1,1,4,0,2,0,0,0,15
535,Marcus Hatley,2015,28,STL,0.1,0,0,,0,2,0,1,0,0,0,1.1,1,0,0,0,2,0,2,0,0,0,7
536,Scott Baker,2015,34,LAD,-0.1,66,53,0.555,4.26,193,172,15,4,2,0,1064.2,1089,518,504,145,245,13,839,27,0,22,4438
537,Chad Billingsley,2015,31,PHI,-0.1,83,64,0.565,3.72,226,197,7,4,2,0,1212.1,1162,545,501,92,499,32,1052,44,0,50,5202
538,Jerome Williams,2015,34,PHI,-0.1,52,66,0.441,4.57,225,149,34,3,2,2,1012.1,1058,556,514,126,346,14,647,56,3,20,4371
539,Erik Cordier,2015,30,MIA,-0.2,0,0,,4.42,15,0,2,0,0,0,18.1,18,12,9,1,8,1,16,4,1,1,84
540,Juan Jaime,2015,28,LAD,-0.2,0,1,0,5.93,18,0,5,0,0,0,13.2,14,9,9,1,13,1,19,1,0,3,70
541,Collin Balester,2015,30,CIN,-0.4,8,17,0.32,5.47,88,22,24,0,0,0,200.2,210,131,122,39,91,3,157,13,1,15,901
542,David Carpenter,2015,28,ATL,-0.4,1,2,0.333,5.4,34,0,13,0,0,0,46.2,51,28,28,9,19,0,34,2,0,3,206
543,Jonny Gomes,2015,35,KCR,-0.5,0,0,,18,1,0,1,0,0,0,1,3,2,2,1,0,0,1,0,0,0,6
544,Sugar Ray Marimon,2015,27,ATL,-0.6,0,1,0,7.36,16,0,5,0,0,0,25.2,30,21,21,3,14,0,14,0,0,0,117
545,Hector Noesi,2015,29,CHW,-0.7,12,31,0.279,5.3,107,53,29,1,0,0,395.1,433,245,233,65,146,11,279,8,4,19,1721
546,Shaun Marcum,2015,34,CLE,-0.9,61,48,0.56,3.93,195,167,15,1,0,1,1030,957,474,450,140,314,19,836,32,2,21,4305
547,Randy Wolf,2015,39,DET,-1,133,125,0.516,4.24,390,379,3,13,9,1,2328.1,2310,1173,1097,296,831,39,1814,103,3,44,9977
548,Tim Lincecum,2015,32,SFG,-1.2,108,83,0.565,3.61,269,261,3,10,7,1,1643.2,1438,705,660,136,646,33,1704,42,7,104,6920
549,Jeff Francis,2015,35,TOR,-1.5,72,82,0.468,4.97,254,217,18,3,2,1,1291,1477,746,713,161,384,48,869,50,2,21,5645
550,Barry Zito,2015,38,OAK,-2.9,165,143,0.536,4.04,433,421,9,12,5,0,2576.2,2381,1254,1157,282,1064,52,1885,97,8,50,11001
551,Doug Fister,2016,33,HOU,4.4,77,76,0.503,3.6,212,199,3,7,2,1,1266,1296,560,506,120,275,11,847,63,4,36,5295
552,Henderson Alvarez,2016,27,OAK,4,27,34,0.443,3.8,92,92,0,5,5,0,563,596,261,238,54,129,7,296,22,3,16,2358
553,Colby Lewis,2016,37,TEX,2.8,77,72,0.517,4.7,233,195,13,10,3,0,1215,1255,681,635,178,377,14,961,51,3,33,5226
554,Jake Peavy,2016,36,SFG,2.7,152,126,0.547,3.63,388,377,3,15,6,0,2377,2134,1011,960,259,708,42,2207,78,14,46,9838
555,Javier Lopez,2016,39,SFG,2.1,30,17,0.638,3.48,839,0,163,0,0,14,533.1,484,227,206,26,235,38,358,27,3,16,2273
556,Jeff Manship,2016,32,CLE,1.8,7,10,0.412,4.82,157,10,30,0,0,0,222,228,129,119,26,90,10,159,3,0,2,964
557,Luke Hochevar,2016,33,KCR,0.6,46,65,0.414,4.98,279,128,40,5,2,3,929.1,946,550,514,116,299,10,702,45,3,41,3963
558,Ross Ohlendorf,2016,34,CIN,0.5,30,41,0.423,4.82,209,80,49,0,0,3,586.2,620,332,314,90,222,12,444,28,3,26,2575
559,Phil Coke,2016,34,PIT,0.3,22,27,0.449,4.19,407,15,92,0,0,8,421,445,221,196,33,159,29,323,13,0,20,1823
560,Gonzalez Germen,2016,29,COL,0.2,3,3,0.5,4.63,129,1,30,0,0,3,144,144,75,74,17,81,8,129,2,0,11,640
561,Kyle Drabek,2016,29,SFG,0.1,8,15,0.348,5.26,43,30,7,0,0,0,179.2,188,110,105,24,117,0,123,3,0,20,815
562,Kendry Flores,2016,25,MIA,0.1,1,2,0.333,4.02,8,2,3,0,0,0,15.2,17,8,7,0,7,1,10,1,0,0,70
563,Scott Diamond,2016,30,TOR,-0.1,19,27,0.413,4.5,59,58,1,1,1,0,344,400,192,172,41,86,9,161,5,0,18,1478
564,A.J. Morris,2016,30,CIN,-0.1,0,0,,6.3,7,0,3,0,0,0,10,9,7,7,2,8,0,9,0,0,0,47
565,Pat Dean,2016,28,MIN,-0.3,1,6,0.143,6.28,19,9,4,0,0,0,67.1,88,47,47,13,23,1,50,0,0,1,300
566,Preston Guilmet,2016,29,DET,-0.4,0,1,0,8.22,19,0,8,0,0,0,23,25,21,21,4,9,0,19,0,0,1,106
567,Drew Hayes,2016,29,CIN,-0.4,0,0,,8.38,6,0,1,0,0,0,9.2,15,10,9,3,6,1,8,0,0,0,48
568,Vin Mazzaro,2016,30,SFG,-0.4,24,23,0.511,4.79,140,45,33,0,0,1,383,439,228,204,43,156,10,233,17,1,18,1707
569,Tim Melville,2016,27,CIN,-0.5,0,1,0,11,3,2,0,0,0,0,9,16,12,11,5,9,0,8,1,0,1,54
570,Alfredo Simon,2016,36,CIN,-0.5,47,47,0.5,4.56,255,93,70,2,1,19,775,810,425,393,105,269,21,529,50,2,38,3372
571,Donn Roach,2016,27,OAK,-0.6,3,1,0.75,5.77,21,2,6,0,0,0,39,51,26,25,3,18,1,20,5,0,5,186
572,Carlos Villanueva,2016,33,SDP,-0.6,51,55,0.481,4.31,476,76,110,0,0,11,998.2,967,491,478,139,323,35,862,34,1,32,4234
573,Scott Carroll,2016,32,TEX,-0.7,6,11,0.353,4.6,47,19,15,0,0,0,168.1,189,103,86,15,59,3,93,16,1,9,745
574,Frank Herrmann,2016,33,PHI,-0.7,5,3,0.625,4.72,109,0,36,0,0,1,135.1,151,78,71,21,34,1,86,3,0,6,582
575,Chris Capuano,2016,38,MIL,-0.8,77,92,0.456,4.38,316,225,21,4,3,0,1429.2,1481,756,696,196,463,35,1199,56,6,55,6163
576,Joe Wieland,2016,27,ATL,-0.9,1,6,0.143,6.32,12,10,0,0,0,0,52.2,61,39,37,11,19,3,39,1,1,1,236
577,Jerome Williams,2016,35,STL,-0.9,52,66,0.441,4.59,236,149,43,3,2,2,1029.2,1080,571,525,130,352,15,655,58,3,20,4452
578,Sean O'Sullivan,2016,29,BOS,-1.2,13,23,0.361,6.01,71,56,9,0,0,0,323.2,398,226,216,59,115,10,158,13,2,13,1464
579,Tim Lincecum,2016,33,LAA,-2.2,110,89,0.553,3.74,278,270,3,10,7,1,1682,1506,746,699,147,669,33,1736,44,7,107,7120
580,Tyler Cloyd,2016,30,NYY,,4,9,0.308,5.98,19,17,1,0,0,0,93.1,116,63,62,15,32,2,71,3,0,3,420
